Date,Price,Open,High,Low,Change %
"Apr 01, 2004",1132.20,1126.20,1135.70,1126.20,0.53%
"Apr 02, 2004",1141.80,1132.20,1144.80,1132.20,0.85%
"Apr 05, 2004",1150.60,1141.80,1150.60,1141.60,0.77%
"Apr 06, 2004",1148.20,1150.60,1150.60,1143.30,-0.21%
"Apr 07, 2004",1140.50,1148.20,1148.20,1138.40,-0.67%
"Apr 08, 2004",1139.30,1140.50,1149.00,1134.50,-0.11%
"Apr 12, 2004",1145.20,1139.30,1147.30,1139.30,0.52%
"Apr 13, 2004",1129.40,1145.20,1147.80,1127.70,-1.38%
"Apr 14, 2004",1128.20,1129.40,1132.50,1122.20,-0.11%
"Apr 15, 2004",1128.80,1128.20,1134.10,1120.80,0.05%
"Apr 16, 2004",1134.60,1128.80,1136.80,1126.80,0.51%
"Apr 19, 2004",1135.80,1134.60,1136.20,1129.80,0.11%
"Apr 20, 2004",1118.20,1135.80,1139.30,1118.10,-1.55%
"Apr 21, 2004",1124.10,1118.20,1125.70,1116.00,0.53%
"Apr 22, 2004",1139.90,1124.10,1142.80,1121.90,1.41%
"Apr 23, 2004",1140.60,1139.90,1141.90,1134.80,0.06%
"Apr 26, 2004",1135.50,1140.60,1145.10,1132.90,-0.45%
"Apr 27, 2004",1138.10,1135.50,1146.80,1135.50,0.23%
"Apr 28, 2004",1122.40,1138.10,1138.10,1121.70,-1.38%
"Apr 29, 2004",1113.90,1122.40,1128.80,1108.00,-0.76%
"Apr 30, 2004",1107.30,1113.90,1119.30,1107.20,-0.59%
"May 03, 2004",1117.50,1107.30,1118.70,1107.30,0.92%
"May 04, 2004",1119.50,1117.50,1127.70,1112.90,0.18%
"May 05, 2004",1121.50,1119.50,1125.10,1117.90,0.18%
"May 06, 2004",1114.00,1121.50,1121.50,1106.30,-0.67%
"May 07, 2004",1098.70,1114.00,1117.30,1098.60,-1.37%
"May 10, 2004",1087.10,1098.70,1098.70,1079.60,-1.06%
"May 11, 2004",1095.50,1087.10,1095.70,1087.10,0.77%
"May 12, 2004",1097.30,1095.50,1097.50,1076.30,0.16%
"May 13, 2004",1096.40,1097.30,1102.80,1091.80,-0.08%
"May 14, 2004",1095.70,1096.40,1102.40,1088.20,-0.06%
"May 17, 2004",1084.10,1095.70,1095.70,1079.40,-1.06%
"May 18, 2004",1091.50,1084.10,1094.10,1084.10,0.68%
"May 19, 2004",1088.70,1091.50,1105.90,1088.50,-0.26%
"May 20, 2004",1089.20,1088.70,1092.60,1085.40,0.05%
"May 21, 2004",1093.60,1089.20,1099.70,1089.20,0.40%
"May 24, 2004",1095.40,1093.60,1101.70,1091.80,0.16%
"May 25, 2004",1113.00,1095.40,1113.80,1090.70,1.61%
"May 26, 2004",1114.90,1113.00,1116.70,1109.90,0.17%
"May 27, 2004",1121.30,1114.90,1124.00,1114.90,0.57%
"May 28, 2004",1120.70,1121.30,1122.70,1118.10,-0.05%
"Jun 01, 2004",1121.20,1120.70,1122.70,1113.30,0.04%
"Jun 02, 2004",1125.00,1121.20,1128.10,1118.60,0.34%
"Jun 03, 2004",1116.60,1125.00,1125.30,1116.60,-0.75%
"Jun 04, 2004",1122.50,1116.60,1129.20,1116.60,0.53%
"Jun 07, 2004",1140.40,1122.50,1140.50,1122.50,1.59%
"Jun 08, 2004",1142.20,1140.40,1142.20,1135.50,0.16%
